w_cost,w_lpsp,pv_kwp,bat_kwh,acs_usd_per_year,lpsp_pct
1.0,0.0,270.94928233487997,483.338528863005,36259.19467993612,4.9999997689882285
0.8,0.2,271.1027448449217,483.0893522200919,36259.35430298517,4.999999779035464
0.5,0.5,270.8702995580014,483.46787705997053,36259.15554940712,4.999996801971691
0.2,0.8,300.0,526.8956034478902,39824.75573201316,3.27154052463629
0.0,1.0,300.0,800.0,50466.81189991,1.4690241132358213
